id,type,name,description,url_on_w3,report_boilerplate
1,pdf,WCAG 1.4.3 Contrast (Minimum),,https://www.w3.org/WAI/WCAG21/Understanding/contrast-minimum.html,Poor colour contrast makes it difficult for someone with sight loss to see the content properly. If there is a big difference between the background and foreground colours it should be much easier to see the difference between them.
2,pdf,WCAG 2.4.2 Page titled,,https://www.w3.org/WAI/WCAG21/Understanding/page-titled.html,"PDF documents should have titles that describe the topic or purpose of the page. Titles help users understand the topic without having to read the entire document.

Without a descriptive title a user may need to spend time searching the document to decide whether the content is relevant.

When a PDF is displayed in a browser the title will usually be displayed in the top title bar or as the tab name."
3,pdf,WCAG 3.1.1 Language of Page,,https://www.w3.org/WAI/WCAG21/Understanding/language-of-page.html,"Assistive technologies are more accurate when a document has a specified language. For example, knowing the language means screen readers can accurately convert text to speech with the correct pronunciation and visual browsers can display the correct characters. This allows users to understand content better."
4,pdf,WCAG 1.3.1 Info and Relationships,In tables,https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html,"Information in tables must be shown in a way that maintains the relationships between the data even when a user cannot see the table. Assistive technologies like screen readers rely on correct markup within a table to understand and show the correct information to a user.

Tables in PDF documents should be tagged to give information such as row and column titles."
5,pdf,WCAG 1.3.1 Info and Relationships,In forms,https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html,"Assistive technologies must be able to collect information about and interact with form controls in PDFs. This is done by including name, role, state and value information for each form component.

PDF form components are

* Text fields
* Checkboxes
* Radio buttons
* Combo boxes
* List boxes
* Buttons"
6,pdf,WCAG 1.1.1 Non-text content,,https://www.w3.org/WAI/WCAG21/Understanding/non-text-content.html,"People with sight loss may not see an image clearly on a page. You need to use a text alternative to share the information. The alternative text must describe the information or function represented by the image.

Screen readers can share the alternative text with the user. In PDF documents you must ensure that images are tagged correctly with alternative text."
7,manual,WCAG 2.1.1 Keyboard,Parts or all of the page cannot be accessed via keyboard,https://www.w3.org/WAI/WCAG21/Understanding/keyboard.html,Users should be able to use a keyboard to access all content and functionality of a web page. This means the page can be used by people with no vision as well as people who use alternative keyboards or input devices that act as a keyboard.
8,manual,WCAG 2.1.2 No Keyboard Traps,There is a keyboard trap,https://www.w3.org/WAI/WCAG21/Understanding/no-keyboard-trap.html,"If you can focus on an element using a keyboard then you must also be able to move away from that element using the keyboard. If an element has been designed to keep focus, make sure the user knows how to ‘untrap’ the focus.

This ensures content does not ‘trap’ keyboard focus. It can be a problem with embedded content such as twitter feeds."
9,manual,WCAG 2.4.7 Focus Visible,No or barely visible focus,https://www.w3.org/WAI/WCAG21/Understanding/focus-visible.html,"A visible focus helps users know which element has keyboard focus and where they are on the page.

When an element gets focus there should be a visible border around it. Highlighting the element that has keyboard focus or is hovered over can provide information like whether the element is interactive or the scope of that element.

Operating systems have a native indication of focus, which is available in many browsers. The default display of the focus indicator is not always highly visible and may even be difficult to see especially on coloured backgrounds."
10,manual,WCAG 1.4.4. Resize Text,At 200% content is cut off or is no longer available,https://www.w3.org/WAI/WCAG21/Understanding/resize-text.html,"Visual text, including text-based controls can be scaled so that they can be read directly by users with visual impairments without using assistive technology such as a screen magnifier.

Text must be able to be resized up to 200 percent without loss of content or function."
